countyFIPS	deaths	type	days_since_first_death
01119	4.0	observed	15
01119	4.0	observed	16
01119	4.0	observed	17
01119	4.0	observed	18
01121	2.0	observed	0
01121	2.0	observed	1
01121	2.0	observed	2
01121	2.0	observed	3
01121	2.0	observed	4
01121	2.0	observed	5
01121	2.0	observed	6
01121	2.0	observed	7
01121	2.0	observed	8
01121	2.0	observed	9
01121	2.0	observed	10
01121	2.0	observed	11
01121	2.0	observed	12
01121	2.0	observed	13
01121	2.0	observed	14
01121	2.0	observed	15
01121	2.0	observed	16
01121	2.0	observed	17
01121	2.0	observed	18
01121	2.0	observed	19
01121	2.0	observed	20
01123	1.0	observed	0
01123	1.0	observed	1
01123	1.0	observed	2
01123	1.0	observed	3
01123	1.0	observed	4
01123	1.0	observed	5
01123	1.0	observed	6
01123	1.0	observed	7
01123	1.0	observed	8
01123	1.0	observed	9
01123	1.0	observed	10
01123	2.0	observed	11
01123	2.0	observed	12
01123	2.0	observed	13
01123	2.0	observed	14
01123	4.0	observed	15
01123	4.0	observed	16
01123	4.0	observed	17
01123	5.0	observed	18
01123	8.0	observed	19
01123	9.0	observed	20
01123	9.0	observed	21
01123	11.0	observed	22
01123	14.0	observed	23
01123	16.0	observed	24
01123	17.0	observed	25
01123	17.0	observed	26
01123	17.0	observed	27
01123	17.0	observed	28
01123	17.0	observed	29
01123	18.0	observed	30
01123	18.0	observed	31
01123	18.0	observed	32
01123	18.0	observed	33
